"category_1","category_2","pair_count","support","confidence","lift"
ferramentas_jardim,informatica_acessorios,1,0.00001,0.00322,0.982211
ferramentas_jardim,relogios_presentes,1,0.00001,0.00344,1.971270
ferramentas_jardim,informatica_acessorios,1,0.00001,0.00775,2.367965
ferramentas_jardim,informatica_acessorios,1,0.00001,0.01000,3.054676
ferramentas_jardim,esporte_lazer,1,0.00001,0.00344,5.216285
ferramentas_jardim,informatica_acessorios,2,0.00002,0.01754,5.359080
ferramentas_jardim,informatica_acessorios,3,0.00003,0.02098,6.408410
ferramentas_jardim,moveis_decoracao,1,0.00001,0.00344,8.269724
ferramentas_jardim,casa_construcao,1,0.00001,0.00344,9.687387
cool_stuff,relogios_presentes,1,0.00001,0.02222,11.301950
informatica_acessorios,cool_stuff,1,0.00001,0.00862,13.943762
relogios_presentes,beleza_saude,1,0.00001,0.00327,14.019077
utilidades_domesticas,cool_stuff,1,0.00001,0.00625,16.666578
artes,moveis_decoracao,2,0.00002,0.01887,18.616233
malas_acessorios,informatica_acessorios,1,0.00001,0.07143,21.819112
cama_mesa_banho,beleza_saude,1,0.00001,0.02941,22.152233
brinquedos,cama_mesa_banho,1,0.00001,0.02632,22.383405
moveis_decoracao,ferramentas_jardim,1,0.00001,0.07143,24.218460
casa_conforto,cama_mesa_banho,1,0.00001,0.00641,26.353193
ferramentas_jardim,moveis_decoracao,1,0.00001,0.00348,28.648764
